rating,review_title,review_desc,reviewer_name,review_date,review_location,upvotes,downvotes,product_name,sale_price,original_price,discount
4,Wonderful,Good product..i love it.,Anusree P S,Anusree P S,,104,24,Nokia 105 Reviews,₹1,398₹1,59912% off,₹1,599,12% off
4,Nice product,Product is good like always and it is expected from Nokia.Battery last for 4 to 5 days easily.Sound is loud and clear.Clarity is good.The only two things which i don't like about this phone are :1. Only 1 preloaded wallpaper is available so u cant change the default wallpaper.2. Only 5 - 6  ringtones are available which are not good at all including the very basic Nokia Tune.,Animesh Das,Animesh Das,,104,25,Nokia 105 Reviews,₹1,398₹1,59912% off,₹1,599,12% off
5,Perfect product!,perfect item for this value...,,Flipkart Customer,Flipkart Customer,,49,8,Nokia 105 Reviews,₹1,398₹1,59912% off,₹1,599,12% off
5,Highly recommended,a nice product, 👍I love it,Archana v,Archana v,,297,81,Nokia 105 Reviews,₹1,398₹1,59912% off,₹1,599,12% off
5,Best in the market!,order for my mother she's so happy with it got wat she want light weight, easy to handle, big time shown in display good buttery time, good speaker volume,darpan,darpan,,249,76,Nokia 105 Reviews,₹1,398₹1,59912% off,₹1,599,12% off
5,Classy product,osm mobile....,Sanjiv kumar,Sanjiv kumar,,13,1,Nokia 105 Reviews,₹1,398₹1,59912% off,₹1,599,12% off
5,Must buy!,Very good and cheap phone thanks flipkart,Deepak Sawant,Deepak Sawant,,59,19,Nokia 105 Reviews,₹1,398₹1,59912% off,₹1,599,12% off
5,Super!,Bought the product for my aunt. The product is very much appreciated. You can just rely on Nokia blindly, no questions on that. Coming to the product, I'll rate about various aspects of the product so that it might help you guys.Product quality 5/5Display 5/5Battery backup 5/5Its has got no camera.You can use the product for daily basic usage like calling, messaging. Beneficial for adults. Just one request to the seller that please deliver the product in good packaging. I have received t...,Saürav Kar,Saürav Kar,,11,1,Nokia 105 Reviews,₹1,398₹1,59912% off,₹1,599,12% off
4,Wonderful,It is pretty good too use as secondary mobile!! And the packing was very good.,Flipkart Customer,Flipkart Customer,,23,7,Nokia 105 Reviews,₹1,398₹1,59912% off,₹1,599,12% off
4,Good quality product,Some more discount can be offered but still it's ok👍,Meher MEHER,Meher MEHER,,40,15,Nokia 105 Reviews,₹1,398₹1,59912% off,₹1,599,12% off
4,Old Nokia Days Memories Refreshal,Very Basic Phone. Ideally suitable for those who are less adaptive to Smartphones and for those who want to use it for calling purpose only. It reminds me my old Nokia days memories. Very much nostalgic.It deserves 5 star. But you can get it at 100 bucks less in PayTM. Thats why I have given 4 star.,R K Rashmi Rekha,R K Rashmi Rekha,,47,20,Nokia 105 Reviews,₹1,398₹1,59912% off,₹1,599,12% off
5,Terrific,lovely phone,rajan kumar,rajan kumar,,6,0,Nokia 105 Reviews,₹1,398₹1,59912% off,₹1,599,12% off
4,Good choice,its super phone in the world,ANIS BASHA SHAIK,ANIS BASHA SHAIK,,30,12,Nokia 105 Reviews,₹1,398₹1,59912% off,₹1,599,12% off
5,Terrific,awesome product,Ligin  Jacob,Ligin  Jacob,,4,0,Nokia 105 Reviews,₹1,398₹1,59912% off,₹1,599,12% off
5,Mind-blowing purchase,very nice phone.  Delivered fastly.  price worth.  #nokia,Ashin M,Ashin M,,6,0,Nokia 105 Reviews,₹1,398₹1,59912% off,₹1,599,12% off
5,Perfect product!,its is nice product,Ritu  Agarwal,Ritu  Agarwal,,10,2,Nokia 105 Reviews,₹1,398₹1,59912% off,₹1,599,12% off
4,Pretty good,good product. light weight.good display & battery runs for long period but phone body is not so good I think.,Aniruddha Chakraborty,Aniruddha Chakraborty,,4,0,Nokia 105 Reviews,₹1,398₹1,59912% off,₹1,599,12% off
4,Good quality product,nice product,Parkash Kumar  Gupta,Parkash Kumar  Gupta,,21,11,Nokia 105 Reviews,₹1,398₹1,59912% off,₹1,599,12% off
5,Classy product,I gift this phone to my uncle. He is very happy and nostalgic with the brand Nokia. Thanks Flipkart for deliver it fast.,Jagdish Krishna,Jagdish Krishna,,3,0,Nokia 105 Reviews,₹1,398₹1,59912% off,₹1,599,12% off
5,Brilliant,Got this handset for my 82 year old gramdmom.....proud moment to cherish with Nokia and my gramdmom uses it in a better way...easy handling and  good display is all required for them.I got that from this piece.Thank you filpkart and nokia- give a comeback man,Flipkart Customer,Flipkart Customer,,2,0,Nokia 105 Reviews,₹1,398₹1,59912% off,₹1,599,12% off
4,Wonderful,Good product..i love it.,Anusree P S,Anusree P S,,104,24,Nokia 105 Reviews,₹1,398₹1,59912% off,₹1,599,12% off
4,Nice product,Product is good like always and it is expected from Nokia.Battery last for 4 to 5 days easily.Sound is loud and clear.Clarity is good.The only two things which i don't like about this phone are :1. Only 1 preloaded wallpaper is available so u cant change the default wallpaper.2. Only 5 - 6  ringtones are available which are not good at all including the very basic Nokia Tune.,Animesh Das,Animesh Das,,104,25,Nokia 105 Reviews,₹1,398₹1,59912% off,₹1,599,12% off
5,Perfect product!,perfect item for this value...,,Flipkart Customer,Flipkart Customer,,49,8,Nokia 105 Reviews,₹1,398₹1,59912% off,₹1,599,12% off
