rating,review_title,review_desc,reviewer_name,review_date,review_location,upvotes,downvotes,product_name,sale_price,original_price,discount
5,The best in the Range! Go for it...,Value for Money: 4.5/5Performance: 5/5Build quality :4.5/5Design 4.5/5Noise 4/5(only drier makes a little noise)Brief: This was my first purchase of a Fully Automatic Machine. Been using for a Semi-automatic machine for the past 20 years, we finally decided to shift to a fully automatic machine. Having heard really bad feedback about the top load we decided on the front load. I shortlisted about 3 Brands in the budget - Samsung, LG, Bosch. Heard some quality issues with Bosch in Indi...,Karan Kaushal,Karan Kaushal,,515,88,SAMSUNG 7 kg 5 Star, AI, Wi-Fi, Digital Inverter Fully Automatic Front Load Washing Machine with In-built Heater Silver Reviews,₹30,990₹40,00022% off,₹40,000,22% off
3,Decent product,Delivery experience was horrible. Only one person has come for delivery. How can one person lift this 65kg item. Now customer has no choice other than to follow the delivery boy for lifting and placing it in my home. What kind of a delivery manner it is?  What if only ladies at home? Does the Flipkart expect the same experience with women too? Flipkart must respond to this. Overall, good product with worst delivery experience.,VEMULAMADA NAGARAJU,VEMULAMADA NAGARAJU,,99,12,SAMSUNG 7 kg 5 Star, AI, Wi-Fi, Digital Inverter Fully Automatic Front Load Washing Machine with In-built Heater Silver Reviews,₹30,990₹40,00022% off,₹40,000,22% off
5,Super!,Value of money can’t expect,Dinesh  NARUKA,Dinesh  NARUKA,,15,1,SAMSUNG 7 kg 5 Star, AI, Wi-Fi, Digital Inverter Fully Automatic Front Load Washing Machine with In-built Heater Silver Reviews,₹30,990₹40,00022% off,₹40,000,22% off
3,Fair,Fast delivery, but delivery person demanded extra money of exchange washing machine, even his senior demanding extra money, installation was in hurry and not in a proper manner.About product, first thing I've noticed that rat protection panel was of cardboard material, one can easily make this. Panel should be provided out of these plastic, steel or rubber. Cycle stops thrice in between daily wash cycle on first day of usage which is not acceptable.Overall I'm completely disappointed wi...,Deepak Kukreja,Deepak Kukreja,,21,1,SAMSUNG 7 kg 5 Star, AI, Wi-Fi, Digital Inverter Fully Automatic Front Load Washing Machine with In-built Heater Silver Reviews,₹30,990₹40,00022% off,₹40,000,22% off
5,Fabulous!,Must Buy Value For MoneyVery Good Performance,RAHUL SK,RAHUL SK,,55,13,SAMSUNG 7 kg 5 Star, AI, Wi-Fi, Digital Inverter Fully Automatic Front Load Washing Machine with In-built Heater Silver Reviews,₹30,990₹40,00022% off,₹40,000,22% off
5,Great product,We were used to front door of IFB and we have used for longer time 5 yrs with no concerns until it has some motor related issues. While changing to newer machine, I was looking to change the brand and explored. I found this model with Samsung has better features with multiple options. Its too early to share feed back.. but for past 10 days this works fine..Best part if less noisy and not even know machine is running and beeps indicating machine completed. I am keeping my fingers crossed bei...,Dhana,Dhana,,8,0,SAMSUNG 7 kg 5 Star, AI, Wi-Fi, Digital Inverter Fully Automatic Front Load Washing Machine with In-built Heater Silver Reviews,₹30,990₹40,00022% off,₹40,000,22% off
5,Awesome,Good,Chirag Sutariya,Chirag Sutariya,,37,9,SAMSUNG 7 kg 5 Star, AI, Wi-Fi, Digital Inverter Fully Automatic Front Load Washing Machine with In-built Heater Silver Reviews,₹30,990₹40,00022% off,₹40,000,22% off
5,Wonderful,It’s an excellent machine…. Which do every thing on its own… hassle freeLess power consumption withHuge water save when compared to top loadMore over u can trust the brand lik Samsung And installation was done on next day Aramsye it wil work for next 8 years Peace ✌️ thank u Samsung,rajshekar ipcc,rajshekar ipcc,,20,4,SAMSUNG 7 kg 5 Star, AI, Wi-Fi, Digital Inverter Fully Automatic Front Load Washing Machine with In-built Heater Silver Reviews,₹30,990₹40,00022% off,₹40,000,22% off
4,Good choice,Nice product,Manager  Singh,Manager  Singh,,18,4,SAMSUNG 7 kg 5 Star, AI, Wi-Fi, Digital Inverter Fully Automatic Front Load Washing Machine with In-built Heater Silver Reviews,₹30,990₹40,00022% off,₹40,000,22% off
3,Good,The technician who came to do the installation had no knowledge at all. How can the company get the installation done by such people! And he did not even install the installation parts in the washing machine which were provided by the company.,Dinesh  Sharma,Dinesh  Sharma,,9,0,SAMSUNG 7 kg 5 Star, AI, Wi-Fi, Digital Inverter Fully Automatic Front Load Washing Machine with In-built Heater Silver Reviews,₹30,990₹40,00022% off,₹40,000,22% off
5,Wonderful,I got this for 28 K, i saw many brands but finally i decided to buy samsung because the samsung drum size is little bigger than other brands and i got a really good one with good price This machine wash cloths very nicely with less soundI suggest please go for this and buy without any doubt,Flipkart Customer,Flipkart Customer,,21,6,SAMSUNG 7 kg 5 Star, AI, Wi-Fi, Digital Inverter Fully Automatic Front Load Washing Machine with In-built Heater Silver Reviews,₹30,990₹40,00022% off,₹40,000,22% off
3,Fair,Rat mash is too poor quality, I don't know they're providing metal cover in bottom square of machine. I think it's bad strategy and cheating with customers, on second day after installation rats cuts my machines tub 😞,Rahul Dhaker,Rahul Dhaker,,7,0,SAMSUNG 7 kg 5 Star, AI, Wi-Fi, Digital Inverter Fully Automatic Front Load Washing Machine with In-built Heater Silver Reviews,₹30,990₹40,00022% off,₹40,000,22% off
5,Must buy!,Good,Sunil Kumar,Sunil Kumar,,13,3,SAMSUNG 7 kg 5 Star, AI, Wi-Fi, Digital Inverter Fully Automatic Front Load Washing Machine with In-built Heater Silver Reviews,₹30,990₹40,00022% off,₹40,000,22% off
5,Best in the market!,Nice person on installation. Appreciated A+++++,Philip Mathew,Philip Mathew,,5,0,SAMSUNG 7 kg 5 Star, AI, Wi-Fi, Digital Inverter Fully Automatic Front Load Washing Machine with In-built Heater Silver Reviews,₹30,990₹40,00022% off,₹40,000,22% off
