rating,review_title,review_desc,reviewer_name,review_date,review_location,upvotes,downvotes,product_name,sale_price,original_price,discount
4,Worth the money,Ok for in this price range....,Karthik Mohan,Karthik Mohan,,0,0,Noise Icon 4 with Stunning 1.96'' AMOLED Display, Metallic Finish, BT Calling Smartwatch Reviews,₹1,799₹6,99974% off,₹6,999,74% off
5,Best in the market!,Gud,Thanda Nagaraju,Thanda Nagaraju,,0,0,Noise Icon 4 with Stunning 1.96'' AMOLED Display, Metallic Finish, BT Calling Smartwatch Reviews,₹1,799₹6,99974% off,₹6,999,74% off
4,Delightful,Good,prabir samanta,prabir samanta,,0,0,Noise Icon 4 with Stunning 1.96'' AMOLED Display, Metallic Finish, BT Calling Smartwatch Reviews,₹1,799₹6,99974% off,₹6,999,74% off
5,Brilliant,Best product,Mahipal Reyar,Mahipal Reyar,,0,0,Noise Icon 4 with Stunning 1.96'' AMOLED Display, Metallic Finish, BT Calling Smartwatch Reviews,₹1,799₹6,99974% off,₹6,999,74% off
5,Excellent,Good product,Alok  Kumar,Alok  Kumar,,0,0,Noise Icon 4 with Stunning 1.96'' AMOLED Display, Metallic Finish, BT Calling Smartwatch Reviews,₹1,799₹6,99974% off,₹6,999,74% off
2,Moderate,Bed product,Flipkart Customer,Flipkart Customer,,0,0,Noise Icon 4 with Stunning 1.96'' AMOLED Display, Metallic Finish, BT Calling Smartwatch Reviews,₹1,799₹6,99974% off,₹6,999,74% off
5,Terrific,This product is very good  You guys puchesd it too 🙏👍🏻⌚⌚,Prashant Kumar,Prashant Kumar,,0,0,Noise Icon 4 with Stunning 1.96'' AMOLED Display, Metallic Finish, BT Calling Smartwatch Reviews,₹1,799₹6,99974% off,₹6,999,74% off
4,Worth the money,Good 👍👍👍,Ajru Khan,Ajru Khan,,0,0,Noise Icon 4 with Stunning 1.96'' AMOLED Display, Metallic Finish, BT Calling Smartwatch Reviews,₹4,499₹6,99935% off,₹6,999,35% off
1,Horrible,No battary backup,sheik dawood,sheik dawood,,0,0,Noise Icon 4 with Stunning 1.96'' AMOLED Display, Metallic Finish, BT Calling Smartwatch Reviews,₹4,499₹6,99935% off,₹6,999,35% off
1,Unsatisfactory,No bluetooth is my phone dis connect,Arpit Singh,Arpit Singh,,0,0,Noise Icon 4 with Stunning 1.96'' AMOLED Display, Metallic Finish, BT Calling Smartwatch Reviews,₹4,499₹6,99935% off,₹6,999,35% off
